IP LINLIN
DP 10.0 7.796868e-01
DP 11.0 6.640039e-01
DP 12.0 5.728534e-01
DP 13.0 4.996176e-01
DP 14.0 4.397974e-01
DP 15.0 3.902411e-01
DP 16.0 3.486834e-01
DP 17.0 3.134593e-01
DP 18.0 2.833214e-01
DP 19.0 2.573191e-01
DP 20.0 2.347166e-01
DP 21.0 2.149372e-01
DP 22.0 1.975229e-01
DP 23.0 1.821061e-01
DP 24.0 1.683888e-01
DP 25.0 1.561275e-01
DP 26.0 1.451211e-01
DP 27.0 1.352024e-01
DP 28.0 1.262317e-01
DP 29.0 1.180911e-01
DP 30.0 1.106807e-01
DP 31.0 1.039154e-01
DP 32.0 9.772221e-02
DP 33.0 9.203829e-02
DP 34.0 8.680929e-02
DP 35.0 8.198799e-02
DP 36.0 7.753317e-02
DP 37.0 7.340874e-02
DP 38.0 6.958299e-02
DP 39.0 6.602795e-02
DP 40.0 6.271884e-02
DP 41.0 5.963371e-02
DP 42.0 5.675300e-02
DP 43.0 5.405925e-02
DP 44.0 5.153682e-02
DP 45.0 4.917171e-02
DP 46.0 4.695131e-02
DP 47.0 4.486424e-02
DP 48.0 4.290024e-02
DP 49.0 4.105000e-02
DP 50.0 3.930510e-02
DP 51.0 3.765786e-02
DP 52.0 3.610131e-02
DP 53.0 3.462908e-02
DP 54.0 3.323533e-02
DP 55.0 3.191476e-02
DP 56.0 3.066247e-02
DP 57.0 2.947397e-02
DP 58.0 2.834515e-02
DP 59.0 2.727221e-02
DP 60.0 2.625165e-02
DP 61.0 2.528023e-02
DP 62.0 2.435497e-02
DP 63.0 2.347310e-02
DP 64.0 2.263206e-02
DP 65.0 2.182946e-02
DP 66.0 2.106310e-02
DP 67.0 2.033093e-02
DP 68.0 1.963103e-02
DP 69.0 1.896162e-02
DP 70.0 1.832104e-02
DP 71.0 1.770774e-02
DP 72.0 1.712026e-02
DP 73.0 1.655726e-02
DP 74.0 1.601746e-02
DP 75.0 1.549968e-02
DP 76.0 1.500279e-02
DP 77.0 1.452576e-02
DP 78.0 1.406760e-02
DP 79.0 1.362738e-02
DP 80.0 1.320423e-02
DP 81.0 1.279735e-02
DP 82.0 1.240595e-02
DP 83.0 1.202931e-02
DP 84.0 1.166675e-02
DP 85.0 1.131762e-02
DP 86.0 1.098131e-02
DP 87.0 1.065724e-02
DP 88.0 1.034487e-02
DP 89.0 1.004367e-02
DP 90.0 9.753168e-03
DP 91.0 9.472890e-03
DP 92.0 9.202400e-03
DP 93.0 8.941282e-03
DP 94.0 8.689140e-03
DP 95.0 8.445599e-03
DP 96.0 8.210303e-03
DP 97.0 7.982914e-03
DP 98.0 7.763110e-03
DP 99.0 7.550584e-03
DP 100.0 7.345046e-03
DP 101.0 7.146217e-03
DP 102.0 6.953834e-03
DP 103.0 6.767645e-03
DP 104.0 6.587410e-03
DP 105.0 6.412900e-03
DP 106.0 6.243896e-03
DP 107.0 6.080190e-03
DP 108.0 5.921583e-03
DP 109.0 5.767885e-03
DP 110.0 5.618914e-03
DP 111.0 5.474497e-03
DP 112.0 5.334466e-03
DP 113.0 5.198664e-03
DP 114.0 5.066938e-03
DP 115.0 4.939143e-03
DP 116.0 4.815139e-03
DP 117.0 4.694792e-03
DP 118.0 4.577975e-03
DP 119.0 4.464565e-03
DP 120.0 4.354444e-03
DP 121.0 4.247500e-03
DP 122.0 4.143623e-03
DP 123.0 4.042711e-03
DP 124.0 3.944662e-03
DP 125.0 3.849383e-03
DP 126.0 3.756780e-03
DP 127.0 3.666765e-03
DP 128.0 3.579252e-03
DP 129.0 3.494161e-03
DP 130.0 3.411413e-03
DP 131.0 3.330932e-03
DP 132.0 3.252645e-03
DP 133.0 3.176483e-03
DP 134.0 3.102378e-03
DP 135.0 3.030264e-03
DP 136.0 2.960081e-03
DP 137.0 2.891766e-03
DP 138.0 2.825264e-03
DP 139.0 2.760516e-03
DP 140.0 2.697471e-03
DP 141.0 2.636075e-03
DP 142.0 2.576278e-03
DP 143.0 2.518033e-03
DP 144.0 2.461292e-03
DP 145.0 2.406011e-03
DP 146.0 2.352146e-03
DP 147.0 2.299655e-03
DP 148.0 2.248498e-03
DP 149.0 2.198636e-03
DP 150.0 2.150030e-03
DP 151.0 2.102645e-03
DP 152.0 2.056445e-03
DP 153.0 2.011395e-03
DP 154.0 1.967464e-03
DP 155.0 1.924619e-03
DP 156.0 1.882829e-03
DP 157.0 1.842064e-03
DP 158.0 1.802297e-03
DP 159.0 1.763498e-03
DP 160.0 1.725640e-03
DP 161.0 1.688698e-03
DP 162.0 1.652647e-03
DP 163.0 1.617461e-03
DP 164.0 1.583118e-03
DP 165.0 1.549593e-03
DP 166.0 1.516866e-03
DP 167.0 1.484913e-03
DP 168.0 1.453715e-03
DP 169.0 1.423251e-03
DP 170.0 1.393502e-03
DP 171.0 1.364448e-03
DP 172.0 1.336071e-03
DP 173.0 1.308354e-03
DP 174.0 1.281278e-03
DP 175.0 1.254827e-03
DP 176.0 1.228985e-03
DP 177.0 1.203735e-03
DP 178.0 1.179063e-03
DP 179.0 1.154954e-03
DP 180.0 1.131392e-03
DP 181.0 1.108365e-03
DP 182.0 1.085858e-03
DP 183.0 1.063858e-03
DP 184.0 1.042353e-03
DP 185.0 1.021329e-03
DP 186.0 1.000775e-03
DP 187.0 9.806789e-04
DP 188.0 9.610291e-04
DP 189.0 9.418146e-04
DP 190.0 9.230245e-04
DP 191.0 9.046485e-04
DP 192.0 8.866762e-04
DP 193.0 8.690977e-04
DP 194.0 8.519034e-04
DP 195.0 8.350839e-04
DP 196.0 8.186300e-04
DP 197.0 8.025330e-04
DP 198.0 7.867841e-04
DP 199.0 7.713749e-04
DP 200.0 7.562973e-04
DP 201.0 7.415433e-04
DP 202.0 7.271053e-04
DP 203.0 7.129756e-04
DP 204.0 6.991470e-04
DP 205.0 6.856122e-04
DP 206.0 6.723645e-04
DP 207.0 6.593970e-04
DP 208.0 6.467031e-04
DP 209.0 6.342764e-04
DP 210.0 6.221108e-04
DP 211.0 6.102001e-04
DP 212.0 5.985383e-04
DP 213.0 5.871199e-04
DP 214.0 5.759391e-04
DP 215.0 5.649904e-04
DP 216.0 5.542686e-04
DP 217.0 5.437684e-04
DP 218.0 5.334848e-04
DP 219.0 5.234129e-04
DP 220.0 5.135479e-04
DP 221.0 5.038850e-04
DP 222.0 4.944197e-04
DP 223.0 4.851476e-04
DP 224.0 4.760643e-04
DP 225.0 4.671656e-04
DP 226.0 4.584473e-04
DP 227.0 4.499055e-04
DP 228.0 4.415362e-04
DP 229.0 4.333356e-04
DP 230.0 4.253000e-04
DP 231.0 4.174257e-04
DP 232.0 4.097091e-04
DP 233.0 4.021469e-04
DP 234.0 3.947356e-04
DP 235.0 3.874719e-04
DP 236.0 3.803526e-04
DP 237.0 3.733745e-04
DP 238.0 3.665347e-04
DP 239.0 3.598301e-04
DP 240.0 3.532578e-04
DP 241.0 3.468149e-04
DP 242.0 3.404987e-04
DP 243.0 3.343064e-04
DP 244.0 3.282353e-04
DP 245.0 3.222830e-04
DP 246.0 3.164469e-04
DP 247.0 3.107244e-04
DP 248.0 3.051132e-04
DP 249.0 2.996110e-04
DP 250.0 2.942154e-04
DP 251.0 2.889241e-04
DP 252.0 2.837351e-04
DP 253.0 2.786460e-04
DP 254.0 2.736550e-04
DP 255.0 2.687598e-04
DP 256.0 2.639585e-04
DP 257.0 2.592492e-04
DP 258.0 2.546299e-04
DP 259.0 2.500988e-04
DP 260.0 2.456540e-04
DP 261.0 2.412938e-04
DP 262.0 2.370164e-04
DP 263.0 2.328201e-04
DP 264.0 2.287032e-04
DP 265.0 2.246642e-04
DP 266.0 2.207014e-04
DP 267.0 2.168133e-04
DP 268.0 2.129984e-04
DP 269.0 2.092551e-04
DP 270.0 2.055821e-04
DP 271.0 2.019778e-04
DP 272.0 1.984410e-04
DP 273.0 1.949702e-04
DP 274.0 1.915641e-04
DP 275.0 1.882214e-04
DP 276.0 1.849408e-04
DP 277.0 1.817212e-04
DP 278.0 1.785613e-04
DP 279.0 1.754598e-04
DP 280.0 1.724156e-04
DP 281.0 1.694277e-04
DP 282.0 1.664948e-04
DP 283.0 1.636159e-04
DP 284.0 1.607899e-04
DP 285.0 1.580158e-04
DP 286.0 1.552925e-04
DP 287.0 1.526191e-04
DP 288.0 1.499945e-04
DP 289.0 1.474178e-04
DP 290.0 1.448881e-04
DP 291.0 1.424045e-04
DP 292.0 1.399660e-04
